,Parent Ingredient,count,percent_containing
340,blue 2,2,0.008298755186721992
341,m&m's minis milk chocolate candies with cocoa butter,2,0.008298755186721992
342,yellow 6,2,0.008298755186721992
343,milk chocolate candies,2,0.008298755186721992
344,dextrin,2,0.008298755186721992
345,sodium caseinate,3,0.012448132780082987
346,calcium carbonate,3,0.012448132780082987
347,anhydrous milkfat,3,0.012448132780082987
348,fudge covered waffle cone pieces,3,0.012448132780082987
349,unbleached unenriched wheat flour,5,0.02074688796680498
350,fudge coating,3,0.012448132780082987
351,vanilla,4,0.016597510373443983
352,waffle cone,3,0.012448132780082987
353,heath toffee bar pieces,3,0.012448132780082987
354,ground heath toffee pieces,2,0.008298755186721992
355,and/or canola oil,3,0.012448132780082987
356,and/or baking soda,3,0.012448132780082987
357,and/or palm oil,3,0.012448132780082987
358,and/or calcium phosphate,3,0.012448132780082987
359,cellulose gum,2,0.008298755186721992
360,propylene glycol monoesters,2,0.008298755186721992
361,reese's peanut butter swirl,2,0.008298755186721992
362,reese's peanut butter cups,2,0.008298755186721992
363,orange juice,2,0.008298755186721992
364,cheesecake base,2,0.008298755186721992
365,cheese culture,2,0.008298755186721992
366,ascorbic acid,2,0.008298755186721992
367,pasteurized milk and cream,2,0.008298755186721992
368,lemon oil,3,0.012448132780082987
369,graham crumb,3,0.012448132780082987
370,malic acid,2,0.008298755186721992
371,cheesecake pieces with graham crust,3,0.012448132780082987
372,strawberry swirl,2,0.008298755186721992
373,sweetened lemon zest,3,0.012448132780082987
374,whole wheat/graham flour,3,0.012448132780082987
375,plum,2,0.008298755186721992
376,black carrot concentrate,2,0.008298755186721992
377,cherry concentrate,2,0.008298755186721992
378,cherry and black carrot concentrates,2,0.008298755186721992
379,plum concentrate,2,0.008298755186721992
380,thiamin mononitrate,3,0.012448132780082987
381,fruit and vegetable juice,2,0.008298755186721992
382,chocolate cookie pieces,2,0.008298755186721992
383,unsweetened chocolate,2,0.008298755186721992
384,sodium acid pyrophosphate,2,0.008298755186721992
385,monocalcium phosphate,2,0.008298755186721992
386,skim milk powder,2,0.008298755186721992
387,pasteurized whole eggs,2,0.008298755186721992
